PLAYER_ID,PLAYER_NAME,draft_year,hybrid_archetype_label,macro_archetype,shot_style_subtype,staged_extension_stance,staged_extension_stance_label,staged_band_text,staged_extension_reason,deliverable3_framework_status,forecast_support_status,forecast_outlook_bucket,forecast_confidence_band,forecast_uncertainty_band,comp_support_bucket,scarcity_tier,identity_drift_class,block1_support_note,card_title,card_market_text,card_forecast_text,card_reason_text,card_status_text
1882,Elton Brand,1999,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,Scoring Bigs / Two-Way Forwards,Arc-Heavy Spacers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 20.7%, fair 20.7%, walk-away 21.6%; open 20.7%, target 20.7%, hard max 21.6%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,upside_leaning,high_confidence,low_uncertainty,strong,selective_premium,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Elton Brand — Offer now at disciplined price,"Protected 20.7%, fair 20.7%, walk-away 21.6%. Open at 20.7%, target 20.7%, hard max 21.6%.","Forecast support status: classification_or_truth_only. Outlook upside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1883,Steve Francis,1999,High-Usage Primary Creators | Rim Pressure Drivers,High-Usage Primary Creators,Rim Pressure Drivers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 13.1%, fair 16.4%, walk-away 21.4%; open 14.4%, target 16.4%, hard max 21.4%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,upside_leaning,high_confidence,low_uncertainty,strong,scarce,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Steve Francis — Offer now at disciplined price,"Protected 13.1%, fair 16.4%, walk-away 21.4%. Open at 14.4%, target 16.4%, hard max 21.4%.","Forecast support status: classification_or_truth_only. Outlook upside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1884,Baron Davis,1999,High-Usage Primary Creators | Rim Pressure Drivers,High-Usage Primary Creators,Rim Pressure Drivers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 7.2%, fair 11.5%, walk-away 21.4%; open 8.9%, target 11.5%, hard max 21.4%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,neutral_leaning,high_confidence,low_uncertainty,strong,scarce,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Baron Davis — Offer now at disciplined price,"Protected 7.2%, fair 11.5%, walk-away 21.4%. Open at 8.9%, target 11.5%, hard max 21.4%.","Forecast support status: classification_or_truth_only. Outlook neutral_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1885,Lamar Odom,1999,High-Usage Primary Creators | Rim Pressure Drivers,High-Usage Primary Creators,Rim Pressure Drivers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 11.3%, fair 15.8%, walk-away 16.7%; open 13.1%, target 15.8%, hard max 16.7%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,upside_leaning,high_confidence,low_uncertainty,moderate,scarce,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Lamar Odom — Offer now at disciplined price,"Protected 11.3%, fair 15.8%, walk-away 16.7%. Open at 13.1%, target 15.8%, hard max 16.7%.","Forecast support status: classification_or_truth_only. Outlook upside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1886,Jonathan Bender,1999,Perimeter Wings & Connectors | Rim Pressure Drivers,Perimeter Wings & Connectors,Rim Pressure Drivers,wait_and_save_flexibility,Wait and save flexibility,"Protected 3.5%, fair 4.5%, walk-away 5.8%; open 3.5%, target 4.0%, hard max 4.5%.","Forecast support leans negative with high_confidence and low_uncertainty, so the stance is pulled one step more cautious inside the existing band rather than discounted beyond it.",forecast_adjusted_supported_subset,test_prediction_available,downside_leaning,high_confidence,low_uncertainty,strong,replaceable_middle,role_shifting_materially,Forecast-adjustment support available from Block 1 handoff.,Jonathan Bender — Wait and save flexibility,"Protected 3.5%, fair 4.5%, walk-away 5.8%. Open at 3.5%, target 4.0%, hard max 4.5%.","Forecast support status: test_prediction_available. Outlook downside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Forecast support leans negative with high_confidence and low_uncertainty, so the stance is pulled one step more cautious inside the existing band rather than discounted beyond it.","Status: forecast_adjusted_supported_subset. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1887,Wally Szczerbiak,1999,High-Usage Primary Creators | Rim Pressure Drivers,High-Usage Primary Creators,Rim Pressure Drivers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 6.7%, fair 11.1%, walk-away 13.7%; open 8.5%, target 11.1%, hard max 13.7%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,neutral_leaning,medium_confidence,medium_uncertainty,strong,scarce,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Wally Szczerbiak — Offer now at disciplined price,"Protected 6.7%, fair 11.1%, walk-away 13.7%. Open at 8.5%, target 11.1%, hard max 13.7%.","Forecast support status: classification_or_truth_only. Outlook neutral_leaning, confidence medium_confidence, uncertainty medium_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1888,Richard Hamilton,1999,High-Usage Primary Creators | Rim Pressure Drivers,High-Usage Primary Creators,Rim Pressure Drivers,wait_and_save_flexibility,Wait and save flexibility,"Protected 4.8%, fair 5.8%, walk-away 6.9%; open 4.8%, target 5.3%, hard max 5.8%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,upside_leaning,high_confidence,low_uncertainty,weak,scarce,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Richard Hamilton — Wait and save flexibility,"Protected 4.8%, fair 5.8%, walk-away 6.9%. Open at 4.8%, target 5.3%, hard max 5.8%.","Forecast support status: classification_or_truth_only. Outlook upside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1889,Andre Miller,1999,High-Usage Primary Creators | Rim Pressure Drivers,High-Usage Primary Creators,Rim Pressure Drivers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 3.9%, fair 14.8%, walk-away 20.2%; open 8.3%, target 14.8%, hard max 20.2%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,upside_leaning,high_confidence,low_uncertainty,strong,scarce,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Andre Miller — Offer now at disciplined price,"Protected 3.9%, fair 14.8%, walk-away 20.2%. Open at 8.3%, target 14.8%, hard max 20.2%.","Forecast support status: classification_or_truth_only. Outlook upside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1890,Shawn Marion,1999,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 12.5%, fair 13.5%, walk-away 19.4%; open 12.9%, target 13.5%, hard max 19.4%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,upside_leaning,high_confidence,low_uncertainty,strong,selective_premium,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Shawn Marion — Offer now at disciplined price,"Protected 12.5%, fair 13.5%, walk-away 19.4%. Open at 12.9%, target 13.5%, hard max 19.4%.","Forecast support status: classification_or_truth_only. Outlook upside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
1891,Jason Terry,1999,High-Usage Primary Creators | Rim Pressure Drivers,High-Usage Primary Creators,Rim Pressure Drivers,offer_now_disciplined_band,Offer now at disciplined price,"Protected 6.6%, fair 13.2%, walk-away 20.2%; open 9.2%, target 13.2%, hard max 20.2%.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.",block1_classification_overlay_only,classification_or_truth_only,upside_leaning,high_confidence,low_uncertainty,moderate,scarce,role_shifting_materially,Only class probabilities / truth-side context available from Block 1; stance remains staging-only.,Jason Terry — Offer now at disciplined price,"Protected 6.6%, fair 13.2%, walk-away 20.2%. Open at 9.2%, target 13.2%, hard max 20.2%.","Forecast support status: classification_or_truth_only. Outlook upside_leaning, confidence high_confidence, uncertainty low_uncertainty.","Keep the Block 2 posture: class probabilities are available, but no supported performance forecast is available for this row, so forecast use stays descriptive rather than action-changing.","Status: block1_classification_overlay_only. This is a staged decision-support output, not a fully validated final extension recommendation for the whole cohort."
