PLAYER_ID,PLAYER_NAME,draft_year,macro_archetype,shot_style_subtype,hybrid_archetype_label,scarcity_tier,scarcity_wording,prototype_fit_ambiguity,ambiguity_band,identity_drift_class,drift_signal,realistic_comp_list,realistic_comp_similarity_mean,comp_salary_match_count,comp_salary_match_rate,comp_salary_anchor_support,detail_effective_comp_n,detail_same_macro_share,detail_anchor_std_weighted,comp_support_bucket,protected_price_cap_pct,fair_price_cap_pct,walk_away_max_cap_pct,anchor_band_width,anchor_band_relative_width,anchor_width_band,market_anchor_supported_flag,market_anchor_band_text,decision_card_band_text,decision_card_support_text,provisional_action_bucket,provisional_action_reason,decision_card_label,decision_status,supporting_shot_style_explanation,block2_market_context_interpretation,historical_year5_salary_cap_pct_observed,historical_year5_salary_observed_flag,holdout_for_case_study,holdout_reason
1920,A.J. Bramlett,1999,Fringe / Low-Opportunity Players,,Fringe / Low-Opportunity Players | No Shot Subtype,highly_replaceable,Highly replaceable low-opportunity archetype; avoid paying ahead of weak evidence.,0.7209966874197653,medium_ambiguity,insufficient_data,unresolved_drift,,,0,,,,,,insufficient,,,,,,unknown,0,Comp-based market anchor not supported.,Comp-based market anchor not supported.,Comp support insufficient; drift unresolved_drift; archetype highly_replaceable.,avoid_overcommitting,Avoid overcommitting: comp support is insufficient; archetype is highly replaceable; prototype fit is only moderately clear; drift evidence is unresolved.,A.J. Bramlett — Fringe / Low-Opportunity Players | market anchor not supported,provisional_block2_only,Shot-style subtype unavailable.,"Realistic comp neighborhood is available, but too few comparable Year-5 salary matches survive the merge to produce a credible comp-market anchor.",,0,False,
1893,Aleksandar Radojevic,1999,Fringe / Low-Opportunity Players,,Fringe / Low-Opportunity Players | No Shot Subtype,highly_replaceable,Highly replaceable low-opportunity archetype; avoid paying ahead of weak evidence.,0.7961988433811377,medium_ambiguity,insufficient_data,unresolved_drift,,,0,,,,,,insufficient,,,,,,unknown,0,Comp-based market anchor not supported.,Comp-based market anchor not supported.,Comp support insufficient; drift unresolved_drift; archetype highly_replaceable.,avoid_overcommitting,Avoid overcommitting: comp support is insufficient; archetype is highly replaceable; prototype fit is only moderately clear; drift evidence is unresolved.,Aleksandar Radojevic — Fringe / Low-Opportunity Players | market anchor not supported,provisional_block2_only,Shot-style subtype unavailable.,"Realistic comp neighborhood is available, but too few comparable Year-5 salary matches survive the merge to produce a credible comp-market anchor.",,0,False,
1889,Andre Miller,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,scarce,Scarce offensive engine archetype; earlier disciplined offers can be justified when comp support is credible.,0.6068882496214357,low_ambiguity,role_shifting_materially,elevated_drift_risk,"Mo Williams, Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour",8.119716712700257,4,0.8,medium,6.466735417194226,0.75,0.0762474118503411,strong,0.0391956373551465,0.1479790366199348,0.2022290131224159,0.1630333757672694,1.1017329176564363,wide,1,"Protected around 0.039 of cap, fair around 0.148, walk-away max around 0.202.","Protected around 0.039 of cap, fair around 0.148, walk-away max around 0.202.",Comp support strong; drift elevated_drift_risk; archetype scarce.,offer_now_disciplined_band,"Offer now, but stay disciplined: comp support is strong; role family is relatively scarce; prototype fit is relatively clear; market anchor band is wide; role identity is still shifting materially.","Andre Miller — High-Usage Primary Creators | Protected 0.039, fair 0.148, walk-away 0.202",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.039 to 0.202 of cap, with a weighted midpoint near 0.202. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.1824817518248175,1,False,
1905,Andrei Kirilenko,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,selective_premium,"Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.",0.7279887197434183,medium_ambiguity,insufficient_data,unresolved_drift,"Trevor Ariza, Paul Millsap, Ronnie Brewer, Eduardo Najera, Tyson Chandler",6.885930548932508,5,1.0,medium,4.94990613369238,0.4,0.0446972242312717,moderate,0.0825236027840948,0.1037938109513006,0.1309351526428226,0.0484115498587277,0.4664203907248592,balanced,1,"Protected around 0.083 of cap, fair around 0.104, walk-away max around 0.131.","Protected around 0.083 of cap, fair around 0.104, walk-away max around 0.131.",Comp support moderate; drift unresolved_drift; archetype selective_premium.,offer_now_disciplined_band,"Offer now, but stay disciplined: comp support is usable but not airtight; frontcourt scoring archetype can justify a selective premium; prototype fit is only moderately clear; market anchor band is balanced; drift evidence is unresolved.","Andrei Kirilenko — Scoring Bigs / Two-Way Forwards | Protected 0.083, fair 0.104, walk-away 0.131",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.083 to 0.131 of cap, with a weighted midpoint near 0.087. Comp-market support is medium, and the early-career drift class is insufficient_data.",0.02180200729927,1,False,
1884,Baron Davis,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,scarce,Scarce offensive engine archetype; earlier disciplined offers can be justified when comp support is credible.,0.6375559662332309,low_ambiguity,role_shifting_materially,elevated_drift_risk,"Deron Williams, Luke Walton, T.J. Ford, Mardy Collins, Dion Glover",7.465172644664781,4,0.8,medium,6.172811779735612,0.5,0.0724613757558511,strong,0.0719036491101923,0.114712395616611,0.2135857885615251,0.1416821394513328,1.2351074937433912,wide,1,"Protected around 0.072 of cap, fair around 0.115, walk-away max around 0.214.","Protected around 0.072 of cap, fair around 0.115, walk-away max around 0.214.",Comp support strong; drift elevated_drift_risk; archetype scarce.,offer_now_disciplined_band,"Offer now, but stay disciplined: comp support is strong; role family is relatively scarce; prototype fit is relatively clear; market anchor band is wide; role identity is still shifting materially.","Baron Davis — High-Usage Primary Creators | Protected 0.072, fair 0.115, walk-away 0.214",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.072 to 0.214 of cap, with a weighted midpoint near 0.144. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.25,1,False,
1898,Cal Bowdler,1999,Low-Usage Interior Bigs,Midrange Shot Creators,Low-Usage Interior Bigs | Midrange Shot Creators,replaceable,Functional but more replaceable interior archetype; market evidence should be treated conservatively.,0.969318846558764,high_ambiguity,insufficient_data,unresolved_drift,"David Noel, Rodney Carney, Tamar Slay, Speedy Claxton, DerMarr Johnson",6.861378283431664,3,0.6,medium,8.960418135668393,0.0,0.0286505978760521,weak,0.011230652608366,0.0334013375152221,0.0752222475495783,0.0639915949412123,1.915839295718299,very_wide,1,"Protected around 0.011 of cap, fair around 0.033, walk-away max around 0.075.","Protected around 0.011 of cap, fair around 0.033, walk-away max around 0.075.",Comp support weak; drift unresolved_drift; archetype replaceable.,avoid_overcommitting,Avoid overcommitting: comp support is weak; archetype is fairly replaceable; prototype fit remains ambiguous; market anchor band is very wide; drift evidence is unresolved.,"Cal Bowdler — Low-Usage Interior Bigs | Protected 0.011, fair 0.033, walk-away 0.075",provisional_block2_only,Self-created midrange-heavy profiles with intermediate-area usage.,"This player sits in the Low-Usage Interior Bigs market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.011 to 0.075 of cap, with a weighted midpoint near 0.017. Comp-market support is medium, and the early-career drift class is insufficient_data.",,0,False,
1916,Calvin Booth,1999,Low-Usage Interior Bigs,Arc-Heavy Spacers,Low-Usage Interior Bigs | Arc-Heavy Spacers,replaceable,Functional but more replaceable interior archetype; market evidence should be treated conservatively.,0.5866684093376033,low_ambiguity,role_shifting_materially,elevated_drift_risk,"Tamar Slay, Hanno Mottola, Chris Porter, Cal Bowdler, Andray Blatche",7.495938275234923,1,0.2,very_low,28.07320429908333,1.0,0.0,weak,0.0519930675909878,0.0519930675909878,0.0519930675909878,0.0,0.0,narrow,1,"Protected around 0.052 of cap, fair around 0.052, walk-away max around 0.052.","Protected around 0.052 of cap, fair around 0.052, walk-away max around 0.052.",Comp support weak; drift elevated_drift_risk; archetype replaceable.,wait_and_save_flexibility,Wait and save flexibility: comp support is weak; archetype is fairly replaceable; prototype fit is relatively clear; market anchor band is narrow; role identity is still shifting materially.,"Calvin Booth — Low-Usage Interior Bigs | Protected 0.052, fair 0.052, walk-away 0.052",provisional_block2_only,High-frequency perimeter shot makers and floor-spacing profiles.,"This player sits in the Low-Usage Interior Bigs market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.052 to 0.052 of cap, with a weighted midpoint near 0.052. Comp-market support is very_low, and the early-career drift class is role_shifting_materially.",0.124242700729927,1,False,
1914,Chris Herren,1999,Perimeter Wings & Connectors,Midrange Shot Creators,Perimeter Wings & Connectors | Midrange Shot Creators,replaceable_middle,Useful middle-class wing archetype; offers should stay disciplined unless other evidence is unusually strong.,0.9314740167319696,high_ambiguity,insufficient_data,unresolved_drift,"Vonteego Cummings, Orien Greene, Reece Gaines, Kareem Rush, Jiri Welsch",7.306901364739373,1,0.2,very_low,25.820362494274125,1.0,0.0,weak,0.000366349863555,0.000366349863555,0.000366349863555,0.0,0.0,narrow,1,"Protected around 0.000 of cap, fair around 0.000, walk-away max around 0.000.","Protected around 0.000 of cap, fair around 0.000, walk-away max around 0.000.",Comp support weak; drift unresolved_drift; archetype replaceable_middle.,wait_and_save_flexibility,Wait and save flexibility: comp support is weak; wing archetype sits in the replaceable middle; prototype fit remains ambiguous; market anchor band is narrow; drift evidence is unresolved.,"Chris Herren — Perimeter Wings & Connectors | Protected 0.000, fair 0.000, walk-away 0.000",provisional_block2_only,Self-created midrange-heavy profiles with intermediate-area usage.,"This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.000 to 0.000 of cap, with a weighted midpoint near 0.000. Comp-market support is very_low, and the early-career drift class is insufficient_data.",,0,False,
1894,Corey Maggette,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,selective_premium,"Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.",0.6785828519173353,medium_ambiguity,role_shifting_materially,elevated_drift_risk,"Linas Kleiza, Dion Glover, Joey Graham, Mehmet Okur, Luol Deng",5.870969239854716,4,0.8,high,7.296997644245323,0.5,0.0721157719139473,strong,0.0153358925476603,0.0885038809621952,0.1599352419904567,0.1445993494427964,1.633819306800372,very_wide,1,"Protected around 0.015 of cap, fair around 0.089, walk-away max around 0.160.","Protected around 0.015 of cap, fair around 0.089, walk-away max around 0.160.",Comp support strong; drift elevated_drift_risk; archetype selective_premium.,offer_now_disciplined_band,"Offer now, but stay disciplined: comp support is strong; frontcourt scoring archetype can justify a selective premium; prototype fit is only moderately clear; market anchor band is very wide; role identity is still shifting materially.","Corey Maggette — Scoring Bigs / Two-Way Forwards | Protected 0.015, fair 0.089, walk-away 0.160",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.015 to 0.160 of cap, with a weighted midpoint near 0.023. Comp-market support is high, and the early-career drift class is role_shifting_materially.",0.1596715328467153,1,False,
1904,Devean George,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,replaceable_middle,Useful middle-class wing archetype; offers should stay disciplined unless other evidence is unusually strong.,0.9075391259798696,high_ambiguity,role_shifting_materially,elevated_drift_risk,"Jay Williams, Brian Scalabrine, Casey Jacobsen, Bostjan Nachbar, Shannon Brown",7.304759167452095,4,0.8,medium,6.558433517576971,1.0,0.0202902917120339,strong,0.0005881245883127,0.0344925542763544,0.052246606060606,0.0516584814722933,1.4976705134216928,very_wide,1,"Protected around 0.001 of cap, fair around 0.034, walk-away max around 0.052.","Protected around 0.001 of cap, fair around 0.034, walk-away max around 0.052.",Comp support strong; drift elevated_drift_risk; archetype replaceable_middle.,offer_now_disciplined_band,"Offer now, but stay disciplined: comp support is strong; wing archetype sits in the replaceable middle; prototype fit remains ambiguous; market anchor band is very wide; role identity is still shifting materially.","Devean George — Perimeter Wings & Connectors | Protected 0.001, fair 0.034, walk-away 0.052",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.001 to 0.052 of cap, with a weighted midpoint near 0.047. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",0.1036952554744525,1,False,
