metric_group,metric,value,notes
workflow_status,interim_guidance_rows,1058,Total player-level rows in the interim forecast-adjusted extension guidance layer.
workflow_status,forecast_overlay_available_rows,0,Rows carrying the current Deliverable 1 macro forecast overlay from Phase 7.
workflow_status,demo_case_study_rows,3,Rows reserved for Trae Young / Andrew Bynum case-study guidance when present.
interim_extension_bucket,offer_now_disciplined_band,474,Counts by interim forecast-adjusted extension bucket.
interim_extension_bucket,wait_and_save_flexibility,343,Counts by interim forecast-adjusted extension bucket.
interim_extension_bucket,avoid_overcommitting,241,Counts by interim forecast-adjusted extension bucket.
forecast_support_tier,no_forecast_overlay,1058,Counts by current Deliverable 1 macro forecast support tier.
pricing_anchor_preference,market_band_confirmed_by_model,380,Counts by how the salary model and market band align after reconciliation.
pricing_anchor_preference,model_discount_vs_market_review,328,Counts by how the salary model and market band align after reconciliation.
pricing_anchor_preference,model_premium_vs_market_review,189,Counts by how the salary model and market band align after reconciliation.
pricing_anchor_preference,baseline_model_only,117,Counts by how the salary model and market band align after reconciliation.
pricing_anchor_preference,mixed_review,44,Counts by how the salary model and market band align after reconciliation.
