PLAYER_ID,PLAYER_NAME,draft_year,decision_card_title,provisional_action_bucket,provisional_action_label,macro_archetype,shot_style_subtype,hybrid_archetype_label,scarcity_tier,scarcity_wording,comp_support_bucket,ambiguity_band,identity_drift_class,drift_signal,anchor_width_band,market_anchor_supported_flag,protected_price_cap_pct,fair_price_cap_pct,walk_away_max_cap_pct,protected_price_pct_text,fair_price_pct_text,walk_away_max_pct_text,decision_card_market_band_text,decision_card_identity_text,decision_card_risk_text,decision_card_context_text,decision_card_summary_text,provisional_action_reason,decision_card_status_text,decision_status,supporting_shot_style_explanation,block2_market_context_interpretation,realistic_comp_list,historical_year5_salary_cap_pct_observed,historical_year5_salary_observed_flag,holdout_for_case_study,holdout_reason,case_study_priority,decision_card_ready_flag
1920,A.J. Bramlett,1999,A.J. Bramlett — Avoid overcommitting,avoid_overcommitting,Avoid overcommitting,Fringe / Low-Opportunity Players,,Fringe / Low-Opportunity Players | No Shot Subtype,highly_replaceable,Highly replaceable low-opportunity archetype; avoid paying ahead of weak evidence.,insufficient,medium_ambiguity,insufficient_data,unresolved_drift,unknown,0,,,,N/A,N/A,N/A,Comp-based market anchor not supported.,Fringe / Low-Opportunity Players | No shot subtype. Highly replaceable low-opportunity archetype; avoid paying ahead of weak evidence.,"Comp support is insufficient for a credible current market anchor. Prototype fit is only moderately clear. Drift evidence is unresolved, so confidence should stay conservative. The anchored price band is not available.","Realistic comp list unavailable. Realistic comp neighborhood is available, but too few comparable Year-5 salary matches survive the merge to produce a credible comp-market anchor.",Current Block 2 evidence does not support aggressive early commitment. Comp-based market anchor not supported. Comp support is insufficient for a credible current market anchor.,Avoid overcommitting: comp support is insufficient; archetype is highly replaceable; prototype fit is only moderately clear; drift evidence is unresolved.,"Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Shot-style subtype unavailable.,"Realistic comp neighborhood is available, but too few comparable Year-5 salary matches survive the merge to produce a credible comp-market anchor.",,,0,False,,full_cohort,True
1893,Aleksandar Radojevic,1999,Aleksandar Radojevic — Avoid overcommitting,avoid_overcommitting,Avoid overcommitting,Fringe / Low-Opportunity Players,,Fringe / Low-Opportunity Players | No Shot Subtype,highly_replaceable,Highly replaceable low-opportunity archetype; avoid paying ahead of weak evidence.,insufficient,medium_ambiguity,insufficient_data,unresolved_drift,unknown,0,,,,N/A,N/A,N/A,Comp-based market anchor not supported.,Fringe / Low-Opportunity Players | No shot subtype. Highly replaceable low-opportunity archetype; avoid paying ahead of weak evidence.,"Comp support is insufficient for a credible current market anchor. Prototype fit is only moderately clear. Drift evidence is unresolved, so confidence should stay conservative. The anchored price band is not available.","Realistic comp list unavailable. Realistic comp neighborhood is available, but too few comparable Year-5 salary matches survive the merge to produce a credible comp-market anchor.",Current Block 2 evidence does not support aggressive early commitment. Comp-based market anchor not supported. Comp support is insufficient for a credible current market anchor.,Avoid overcommitting: comp support is insufficient; archetype is highly replaceable; prototype fit is only moderately clear; drift evidence is unresolved.,"Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Shot-style subtype unavailable.,"Realistic comp neighborhood is available, but too few comparable Year-5 salary matches survive the merge to produce a credible comp-market anchor.",,,0,False,,full_cohort,True
1889,Andre Miller,1999,Andre Miller — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,scarce,Scarce offensive engine archetype; earlier disciplined offers can be justified when comp support is credible.,strong,low_ambiguity,role_shifting_materially,elevated_drift_risk,wide,1,0.0391956373551465,0.1479790366199348,0.2022290131224159,3.9%,14.8%,20.2%,"Protected price 3.9%, fair price 14.8%, walk-away max 20.2%.",High-Usage Primary Creators | Rim Pressure Drivers. Scarce offensive engine archetype; earlier disciplined offers can be justified when comp support is credible.,"Comp support is strong enough to anchor a usable current market band. Prototype fit is relatively clear. Role identity is still shifting materially, so early commitment deserves caution. The anchored price band is wide.","Realistic comps: Mo Williams, Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour. This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.039 to 0.202 of cap, with a weighted midpoint near 0.202. Comp-market support is medium, and the early-career drift class is role_shifting_materially.","Current Block 2 evidence supports acting now, but only inside the anchored band. Protected price 3.9%, fair price 14.8%, walk-away max 20.2%. Comp support is strong enough to anchor a usable current market band.","Offer now, but stay disciplined: comp support is strong; role family is relatively scarce; prototype fit is relatively clear; market anchor band is wide; role identity is still shifting materially.","Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.039 to 0.202 of cap, with a weighted midpoint near 0.202. Comp-market support is medium, and the early-career drift class is role_shifting_materially.","Mo Williams, Kirk Hinrich, Sebastian Telfair, Chris Paul, Luke Ridnour",0.1824817518248175,1,False,,full_cohort,True
1905,Andrei Kirilenko,1999,Andrei Kirilenko — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,selective_premium,"Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.",moderate,medium_ambiguity,insufficient_data,unresolved_drift,balanced,1,0.0825236027840948,0.1037938109513006,0.1309351526428226,8.3%,10.4%,13.1%,"Protected price 8.3%, fair price 10.4%, walk-away max 13.1%.","Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers. Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.","Comp support is usable, but not strong enough to remove pricing caution. Prototype fit is only moderately clear. Drift evidence is unresolved, so confidence should stay conservative. The anchored price band is reasonably controlled.","Realistic comps: Trevor Ariza, Paul Millsap, Ronnie Brewer, Eduardo Najera, Tyson Chandler. This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.083 to 0.131 of cap, with a weighted midpoint near 0.087. Comp-market support is medium, and the early-career drift class is insufficient_data.","Current Block 2 evidence supports acting now, but only inside the anchored band. Protected price 8.3%, fair price 10.4%, walk-away max 13.1%. Comp support is usable, but not strong enough to remove pricing caution.","Offer now, but stay disciplined: comp support is usable but not airtight; frontcourt scoring archetype can justify a selective premium; prototype fit is only moderately clear; market anchor band is balanced; drift evidence is unresolved.","Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.083 to 0.131 of cap, with a weighted midpoint near 0.087. Comp-market support is medium, and the early-career drift class is insufficient_data.","Trevor Ariza, Paul Millsap, Ronnie Brewer, Eduardo Najera, Tyson Chandler",0.02180200729927,1,False,,full_cohort,True
1884,Baron Davis,1999,Baron Davis — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,scarce,Scarce offensive engine archetype; earlier disciplined offers can be justified when comp support is credible.,strong,low_ambiguity,role_shifting_materially,elevated_drift_risk,wide,1,0.0719036491101923,0.114712395616611,0.2135857885615251,7.2%,11.5%,21.4%,"Protected price 7.2%, fair price 11.5%, walk-away max 21.4%.",High-Usage Primary Creators | Rim Pressure Drivers. Scarce offensive engine archetype; earlier disciplined offers can be justified when comp support is credible.,"Comp support is strong enough to anchor a usable current market band. Prototype fit is relatively clear. Role identity is still shifting materially, so early commitment deserves caution. The anchored price band is wide.","Realistic comps: Deron Williams, Luke Walton, T.J. Ford, Mardy Collins, Dion Glover. This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.072 to 0.214 of cap, with a weighted midpoint near 0.144. Comp-market support is medium, and the early-career drift class is role_shifting_materially.","Current Block 2 evidence supports acting now, but only inside the anchored band. Protected price 7.2%, fair price 11.5%, walk-away max 21.4%. Comp support is strong enough to anchor a usable current market band.","Offer now, but stay disciplined: comp support is strong; role family is relatively scarce; prototype fit is relatively clear; market anchor band is wide; role identity is still shifting materially.","Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.072 to 0.214 of cap, with a weighted midpoint near 0.144. Comp-market support is medium, and the early-career drift class is role_shifting_materially.","Deron Williams, Luke Walton, T.J. Ford, Mardy Collins, Dion Glover",0.25,1,False,,full_cohort,True
1898,Cal Bowdler,1999,Cal Bowdler — Avoid overcommitting,avoid_overcommitting,Avoid overcommitting,Low-Usage Interior Bigs,Midrange Shot Creators,Low-Usage Interior Bigs | Midrange Shot Creators,replaceable,Functional but more replaceable interior archetype; market evidence should be treated conservatively.,weak,high_ambiguity,insufficient_data,unresolved_drift,very_wide,1,0.011230652608366,0.0334013375152221,0.0752222475495783,1.1%,3.3%,7.5%,"Protected price 1.1%, fair price 3.3%, walk-away max 7.5%.",Low-Usage Interior Bigs | Midrange Shot Creators. Functional but more replaceable interior archetype; market evidence should be treated conservatively.,"Comp support exists, but remains thin or noisy. Prototype fit remains ambiguous. Drift evidence is unresolved, so confidence should stay conservative. The anchored price band is very wide.","Realistic comps: David Noel, Rodney Carney, Tamar Slay, Speedy Claxton, DerMarr Johnson. This player sits in the Low-Usage Interior Bigs market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.011 to 0.075 of cap, with a weighted midpoint near 0.017. Comp-market support is medium, and the early-career drift class is insufficient_data.","Current Block 2 evidence does not support aggressive early commitment. Protected price 1.1%, fair price 3.3%, walk-away max 7.5%. Comp support exists, but remains thin or noisy.",Avoid overcommitting: comp support is weak; archetype is fairly replaceable; prototype fit remains ambiguous; market anchor band is very wide; drift evidence is unresolved.,"Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Self-created midrange-heavy profiles with intermediate-area usage.,"This player sits in the Low-Usage Interior Bigs market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.011 to 0.075 of cap, with a weighted midpoint near 0.017. Comp-market support is medium, and the early-career drift class is insufficient_data.","David Noel, Rodney Carney, Tamar Slay, Speedy Claxton, DerMarr Johnson",,0,False,,full_cohort,True
1916,Calvin Booth,1999,Calvin Booth — Wait and save flexibility,wait_and_save_flexibility,Wait and save flexibility,Low-Usage Interior Bigs,Arc-Heavy Spacers,Low-Usage Interior Bigs | Arc-Heavy Spacers,replaceable,Functional but more replaceable interior archetype; market evidence should be treated conservatively.,weak,low_ambiguity,role_shifting_materially,elevated_drift_risk,narrow,1,0.0519930675909878,0.0519930675909878,0.0519930675909878,5.2%,5.2%,5.2%,"Protected price 5.2%, fair price 5.2%, walk-away max 5.2%.",Low-Usage Interior Bigs | Arc-Heavy Spacers. Functional but more replaceable interior archetype; market evidence should be treated conservatively.,"Comp support exists, but remains thin or noisy. Prototype fit is relatively clear. Role identity is still shifting materially, so early commitment deserves caution. The anchored price band is tight.","Realistic comps: Tamar Slay, Hanno Mottola, Chris Porter, Cal Bowdler, Andray Blatche. This player sits in the Low-Usage Interior Bigs market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.052 to 0.052 of cap, with a weighted midpoint near 0.052. Comp-market support is very_low, and the early-career drift class is role_shifting_materially.","Current Block 2 evidence does not force immediate commitment; preserving flexibility still has value. Protected price 5.2%, fair price 5.2%, walk-away max 5.2%. Comp support exists, but remains thin or noisy.",Wait and save flexibility: comp support is weak; archetype is fairly replaceable; prototype fit is relatively clear; market anchor band is narrow; role identity is still shifting materially.,"Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,High-frequency perimeter shot makers and floor-spacing profiles.,"This player sits in the Low-Usage Interior Bigs market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.052 to 0.052 of cap, with a weighted midpoint near 0.052. Comp-market support is very_low, and the early-career drift class is role_shifting_materially.","Tamar Slay, Hanno Mottola, Chris Porter, Cal Bowdler, Andray Blatche",0.124242700729927,1,False,,full_cohort,True
1914,Chris Herren,1999,Chris Herren — Wait and save flexibility,wait_and_save_flexibility,Wait and save flexibility,Perimeter Wings & Connectors,Midrange Shot Creators,Perimeter Wings & Connectors | Midrange Shot Creators,replaceable_middle,Useful middle-class wing archetype; offers should stay disciplined unless other evidence is unusually strong.,weak,high_ambiguity,insufficient_data,unresolved_drift,narrow,1,0.000366349863555,0.000366349863555,0.000366349863555,0.0%,0.0%,0.0%,"Protected price 0.0%, fair price 0.0%, walk-away max 0.0%.",Perimeter Wings & Connectors | Midrange Shot Creators. Useful middle-class wing archetype; offers should stay disciplined unless other evidence is unusually strong.,"Comp support exists, but remains thin or noisy. Prototype fit remains ambiguous. Drift evidence is unresolved, so confidence should stay conservative. The anchored price band is tight.","Realistic comps: Vonteego Cummings, Orien Greene, Reece Gaines, Kareem Rush, Jiri Welsch. This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.000 to 0.000 of cap, with a weighted midpoint near 0.000. Comp-market support is very_low, and the early-career drift class is insufficient_data.","Current Block 2 evidence does not force immediate commitment; preserving flexibility still has value. Protected price 0.0%, fair price 0.0%, walk-away max 0.0%. Comp support exists, but remains thin or noisy.",Wait and save flexibility: comp support is weak; wing archetype sits in the replaceable middle; prototype fit remains ambiguous; market anchor band is narrow; drift evidence is unresolved.,"Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Self-created midrange-heavy profiles with intermediate-area usage.,"This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.000 to 0.000 of cap, with a weighted midpoint near 0.000. Comp-market support is very_low, and the early-career drift class is insufficient_data.","Vonteego Cummings, Orien Greene, Reece Gaines, Kareem Rush, Jiri Welsch",,0,False,,full_cohort,True
1894,Corey Maggette,1999,Corey Maggette — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,selective_premium,"Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.",strong,medium_ambiguity,role_shifting_materially,elevated_drift_risk,very_wide,1,0.0153358925476603,0.0885038809621952,0.1599352419904567,1.5%,8.9%,16.0%,"Protected price 1.5%, fair price 8.9%, walk-away max 16.0%.","Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers. Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.","Comp support is strong enough to anchor a usable current market band. Prototype fit is only moderately clear. Role identity is still shifting materially, so early commitment deserves caution. The anchored price band is very wide.","Realistic comps: Linas Kleiza, Dion Glover, Joey Graham, Mehmet Okur, Luol Deng. This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.015 to 0.160 of cap, with a weighted midpoint near 0.023. Comp-market support is high, and the early-career drift class is role_shifting_materially.","Current Block 2 evidence supports acting now, but only inside the anchored band. Protected price 1.5%, fair price 8.9%, walk-away max 16.0%. Comp support is strong enough to anchor a usable current market band.","Offer now, but stay disciplined: comp support is strong; frontcourt scoring archetype can justify a selective premium; prototype fit is only moderately clear; market anchor band is very wide; role identity is still shifting materially.","Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.015 to 0.160 of cap, with a weighted midpoint near 0.023. Comp-market support is high, and the early-career drift class is role_shifting_materially.","Linas Kleiza, Dion Glover, Joey Graham, Mehmet Okur, Luol Deng",0.1596715328467153,1,False,,full_cohort,True
1904,Devean George,1999,Devean George — Offer now at disciplined price,offer_now_disciplined_band,Offer now at disciplined price,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,replaceable_middle,Useful middle-class wing archetype; offers should stay disciplined unless other evidence is unusually strong.,strong,high_ambiguity,role_shifting_materially,elevated_drift_risk,very_wide,1,0.0005881245883127,0.0344925542763544,0.052246606060606,0.1%,3.4%,5.2%,"Protected price 0.1%, fair price 3.4%, walk-away max 5.2%.",Perimeter Wings & Connectors | Rim Pressure Drivers. Useful middle-class wing archetype; offers should stay disciplined unless other evidence is unusually strong.,"Comp support is strong enough to anchor a usable current market band. Prototype fit remains ambiguous. Role identity is still shifting materially, so early commitment deserves caution. The anchored price band is very wide.","Realistic comps: Jay Williams, Brian Scalabrine, Casey Jacobsen, Bostjan Nachbar, Shannon Brown. This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.001 to 0.052 of cap, with a weighted midpoint near 0.047. Comp-market support is medium, and the early-career drift class is role_shifting_materially.","Current Block 2 evidence supports acting now, but only inside the anchored band. Protected price 0.1%, fair price 3.4%, walk-away max 5.2%. Comp support is strong enough to anchor a usable current market band.","Offer now, but stay disciplined: comp support is strong; wing archetype sits in the replaceable middle; prototype fit remains ambiguous; market anchor band is very wide; role identity is still shifting materially.","Status: provisional_block2_only. This is not the final extension recommendation; Deliverable 1 forecast, durability, and uncertainty adjustments are still pending.",provisional_block2_only,Paint-oriented creators with heavy rim pressure and lower perimeter dependence.,"This player sits in the Perimeter Wings & Connectors market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.001 to 0.052 of cap, with a weighted midpoint near 0.047. Comp-market support is medium, and the early-career drift class is role_shifting_materially.","Jay Williams, Brian Scalabrine, Casey Jacobsen, Bostjan Nachbar, Shannon Brown",0.1036952554744525,1,False,,full_cohort,True
